Wall time,Step,Value
1741630153.9109452,60000,1.0
1741630377.8093169,120000,1.0
1741630602.6048586,180000,1.0
1741630829.0667038,240000,0.0
1741631049.0648088,300000,1.0
1741631275.4603817,360000,0.0
1741631503.3817966,420000,0.0
1741631728.7924943,480000,4.0
1741631946.338871,540000,0.0
1741632170.042173,600000,0.0
1741632394.8728745,660000,0.0
1741632617.0420742,720000,1.0
1741632838.827627,780000,1.0
1741633062.669441,840000,0.0
1741633286.3227062,900000,0.0
1741633511.6601923,960000,2.0
1741633736.2376742,1020000,0.0
1741633957.2542608,1080000,0.0
1741634187.9445045,1140000,2.0
1741634413.235736,1200000,2.0
1741634641.4712868,1260000,3.0
1741634864.571645,1320000,5.0
1741635090.0473301,1380000,5.0
1741635315.5155177,1440000,1.0
1741635541.1617806,1500000,0.0
1741635758.9440026,1560000,6.0
1741635987.7082663,1620000,3.0
1741636213.7073572,1680000,2.0
1741636438.9551616,1740000,3.0
1741636658.507946,1800000,0.0
1741636883.9929883,1860000,2.0
1741637108.5657058,1920000,15.0
1741637336.2611651,1980000,7.0
1741637561.208732,2040000,4.0
1741637781.1787822,2100000,2.0
1741638008.115704,2160000,2.0
1741638234.0416236,2220000,0.0
1741638459.6799426,2280000,0.0
1741638680.4474514,2340000,0.0
1741638905.40881,2400000,1.0
1741639136.3755352,2460000,1.0
1741639363.99226,2520000,0.0
1741639584.1282368,2580000,5.0
1741639810.2934759,2640000,5.0
1741640036.1355376,2700000,2.0
1741640258.9148583,2760000,1.0
1741640477.8639905,2820000,4.0
1741640704.8775015,2880000,0.0
1741640932.9613774,2940000,1.0
1741641160.7005827,3000000,1.0
1741641386.9178658,3060000,0.0
1741641604.3794498,3120000,0.0
1741641827.6684816,3180000,0.0
1741642057.2459116,3240000,0.0
1741642284.3697884,3300000,0.0
1741642505.45408,3360000,3.0
1741642732.8573563,3420000,2.0
1741642961.0992622,3480000,0.0
1741643186.848142,3540000,2.0
1741643405.7759688,3600000,1.0
1741643629.5536463,3660000,0.0
1741643854.5537019,3720000,3.0
1741644078.093733,3780000,2.0
1741644300.7442405,3840000,4.0
1741644526.5210936,3900000,3.0
1741644751.812799,3960000,0.0
1741644975.2894742,4020000,2.0
1741645199.7910366,4080000,2.0
1741645418.2789962,4140000,2.0
1741645644.3266857,4200000,8.0
1741645867.6775377,4260000,4.0
1741646094.4093652,4320000,7.0
1741646312.412224,4380000,4.0
1741646539.1460435,4440000,3.0
1741646768.5059354,4500000,4.0
1741646993.283517,4560000,0.0
1741647213.1674254,4620000,0.0
1741647437.850588,4680000,0.0
1741647664.5786116,4740000,0.0
1741647891.6889157,4800000,0.0
1741648119.0238822,4860000,1.0
1741648338.5381918,4920000,1.0
1741648564.0420592,4980000,0.0
1741649071.758634,5040000,2.0
1741649300.317288,5100000,1.0
1741649518.182429,5160000,1.0
1741649748.0698059,5220000,15.0
1741649976.1945055,5280000,2.0
1741650203.5614858,5340000,2.0
1741650425.1995816,5400000,3.0
1741650649.0500593,5460000,1.0
1741650876.507486,5520000,4.0
1741651102.2965772,5580000,2.0
1741651323.8409472,5640000,3.0
1741651547.5623903,5700000,0.0
1741651770.7078094,5760000,1.0
1741652001.317928,5820000,4.0
1741652232.1554468,5880000,5.0
1741652454.877875,5940000,4.0
1741652682.2995002,6000000,1.0
1741652909.5680318,6060000,0.0
1741653134.939477,6120000,4.0
1741653356.2225578,6180000,4.0
1741653583.3908827,6240000,2.0
1741653808.0687366,6300000,7.0
1741654034.7126968,6360000,0.0
1741654254.9474463,6420000,1.0
1741654482.5911348,6480000,0.0
1741654709.1816258,6540000,0.0
1741654935.7215648,6600000,0.0
1741655156.6792138,6660000,0.0
1741655383.3331578,6720000,1.0
1741655612.0095153,6780000,0.0
1741655838.2658005,6840000,0.0
1741656067.489305,6900000,1.0
1741656289.7087865,6960000,1.0
1741656517.110341,7020000,0.0
1741656745.130204,7080000,2.0
1741656969.454215,7140000,1.0
1741657186.470819,7200000,0.0
1741657411.3270845,7260000,1.0
1741657637.5214322,7320000,2.0
1741657861.6112332,7380000,0.0
1741658080.7915175,7440000,0.0
1741658308.4388669,7500000,2.0
1741658533.0614328,7560000,0.0
1741658756.8238077,7620000,0.0
1741658976.085807,7680000,1.0
1741659203.8697343,7740000,1.0
1741659431.753394,7800000,2.0
1741659658.6876934,7860000,0.0
1741659886.589586,7920000,5.0
1741660106.4591649,7980000,1.0
1741660335.962848,8040000,0.0
1741660562.1024454,8100000,0.0
1741660791.2274172,8160000,1.0
1741661012.3960876,8220000,2.0
1741661239.120739,8280000,0.0
1741661463.639675,8340000,0.0
1741661691.5612512,8400000,2.0
1741661911.3430252,8460000,2.0
1741662137.7445726,8520000,3.0
1741662360.9814415,8580000,1.0
1741662589.4484131,8640000,4.0
1741662816.6922343,8700000,7.0
1741663036.2212582,8760000,6.0
1741663259.9312096,8820000,2.0
1741663487.857279,8880000,6.0
1741663712.6547003,8940000,9.0
1741663935.7593257,9000000,9.0
1741664163.377852,9060000,9.0
1741664392.5459356,9120000,13.0
1741664613.046349,9180000,0.0
1741664830.6219532,9240000,4.0
1741665054.278123,9300000,3.0
1741665278.05154,9360000,3.0
1741665504.4053519,9420000,5.0
1741665726.1591804,9480000,8.0
1741665953.9577546,9540000,8.0
1741666177.4042118,9600000,3.0
1741666404.3376446,9660000,10.0
1741666631.1054025,9720000,12.0
1741666849.4967964,9780000,8.0
1741667073.9519286,9840000,12.0
1741667300.7666261,9900000,11.0
1741667525.5455246,9960000,12.0
1741668021.9995458,10020000,6.0
1741668244.3004377,10080000,3.0
1741668467.0890782,10140000,3.0
1741668690.2433455,10200000,2.0
1741668906.892488,10260000,5.0
1741669131.1233613,10320000,3.0
1741669354.0613787,10380000,4.0
1741669580.4676585,10440000,3.0
1741669801.5622482,10500000,6.0
1741670027.2601228,10560000,5.0
1741670250.9401212,10620000,2.0
1741670476.7364092,10680000,1.0
1741670702.266769,10740000,3.0
1741670924.5637221,10800000,6.0
1741671151.3802576,10860000,1.0
1741671379.073131,10920000,2.0
1741671604.797409,10980000,0.0
1741671827.1702077,11040000,0.0
1741672054.7198434,11100000,0.0
1741672281.031241,11160000,2.0
1741672507.2729099,11220000,0.0
1741672727.30899,11280000,1.0
1741672953.6241574,11340000,1.0
1741673175.346104,11400000,1.0
1741673401.139787,11460000,3.0
1741673620.4357884,11520000,3.0
1741673848.1981652,11580000,6.0
1741674074.96986,11640000,4.0
1741674300.525861,11700000,3.0
1741674525.1036236,11760000,3.0
1741674746.0255854,11820000,4.0
