Wall time,Step,Value
1741243321.3512778,60000,0.0
1741243594.8548894,120000,0.0
1741243863.958467,180000,0.0
1741244132.3698957,240000,0.0
1741244396.1240668,300000,0.0
1741244666.0631979,360000,0.0
1741244932.6452622,420000,0.0
1741245201.929328,480000,0.125
1741245465.5334773,540000,0.25
1741245735.7203908,600000,0.375
1741246001.8150146,660000,0.25
1741246264.7076125,720000,0.125
1741246519.6810355,780000,0.375
1741246782.5411959,840000,0.1875
1741247040.739649,900000,0.125
1741247307.1795657,960000,0.0
1741247574.6428583,1020000,0.3125
1741247826.715027,1080000,0.4375
1741248096.9561322,1140000,0.125
1741248360.5044477,1200000,0.125
1741248622.1391733,1260000,0.1875
1741248878.3772395,1320000,0.1875
1741249145.0376658,1380000,0.625
1741249401.8712091,1440000,0.1875
1741249670.7132182,1500000,0.5625
1741249925.1415665,1560000,0.6875
1741250198.678247,1620000,0.3125
1741250464.2770324,1680000,0.0625
1741250718.4595811,1740000,0.0625
1741250981.5929472,1800000,0.1875
1741251242.7384214,1860000,1.1875
1741251491.0190563,1920000,1.875
1741251756.5325189,1980000,1.875
1741252013.5285957,2040000,2.875
1741252256.5120597,2100000,2.25
1741252525.5562751,2160000,5.0
1741252768.2298272,2220000,1.5625
1741253036.3772738,2280000,1.8125
1741253299.2510178,2340000,1.5625
1741253569.2498257,2400000,0.9375
1741253842.142763,2460000,0.8125
1741254108.138907,2520000,1.25
1741254373.1495311,2580000,2.1875
1741254646.5925505,2640000,1.375
1741254905.081355,2700000,0.625
1741255175.3722148,2760000,0.5
1741255432.2431915,2820000,0.625
1741255689.8762777,2880000,0.8125
1741255955.5043151,2940000,0.5
1741256222.9670432,3000000,0.5625
1741256482.9661617,3060000,0.5
1741256744.3477895,3120000,0.625
1741257013.1900861,3180000,1.0625
1741257285.2107522,3240000,1.9375
1741257549.8642097,3300000,0.3125
1741257803.0868104,3360000,1.1875
1741258064.9257267,3420000,0.875
1741258327.1086245,3480000,2.5
1741258596.752858,3540000,2.1875
1741258837.252372,3600000,2.125
1741259087.3971198,3660000,2.3125
1741259343.8416219,3720000,2.3125
1741259609.2815433,3780000,3.0
1741259854.260024,3840000,1.4375
1741260119.7848444,3900000,2.125
1741260383.672138,3960000,1.625
1741260650.4628465,4020000,1.0625
1741260912.668546,4080000,1.0
1741261173.5933857,4140000,0.625
1741261427.667192,4200000,1.3125
1741261690.7160606,4260000,0.9375
1741261954.2457526,4320000,2.5625
1741262207.6618788,4380000,1.5625
1741262469.1251366,4440000,2.0
1741262732.1040163,4500000,1.625
1741262990.122807,4560000,2.3125
1741263244.156997,4620000,1.875
1741263505.667093,4680000,0.8125
1741263752.0635872,4740000,0.75
1741264022.4511645,4800000,2.0625
1741264275.4626057,4860000,1.125
1741264527.269602,4920000,1.5
1741264791.7251368,4980000,0.75
1741265314.8917205,5040000,1.875
1741265575.9084628,5100000,1.6875
1741265832.2309067,5160000,1.125
1741266098.3428676,5220000,1.1875
1741266363.290248,5280000,1.375
1741266635.1659133,5340000,1.4375
1741266902.4210086,5400000,2.375
1741267162.9721937,5460000,2.625
1741267428.640315,5520000,1.0625
1741267700.6612225,5580000,0.8125
1741267960.060558,5640000,2.0
1741268235.6355574,5700000,1.625
1741268491.518171,5760000,1.0625
1741268762.006441,5820000,1.3125
1741269016.0483,5880000,1.0
1741269281.2383463,5940000,1.9375
1741269555.7268038,6000000,2.3125
1741269816.6007402,6060000,2.625
1741270069.7593935,6120000,2.5
1741270324.0676293,6180000,1.8125
1741270572.5173175,6240000,1.375
1741270831.6831226,6300000,0.8125
1741271076.8486807,6360000,1.8125
1741271318.9655466,6420000,0.9375
1741271595.4150414,6480000,1.8125
1741271846.1084347,6540000,1.625
1741272110.677293,6600000,1.1875
1741272354.6466954,6660000,1.4375
1741272611.8371828,6720000,1.5
1741272874.326825,6780000,2.6875
1741273136.9616969,6840000,2.0
1741273412.3468823,6900000,1.8125
1741273672.983767,6960000,2.125
1741273933.8546398,7020000,1.6875
1741274199.5100522,7080000,1.625
1741274460.0826,7140000,2.75
1741274712.3935812,7200000,2.25
1741274980.219757,7260000,1.125
1741275252.0661867,7320000,0.5625
1741275517.376419,7380000,0.375
1741275774.3565118,7440000,0.9375
1741276038.802256,7500000,1.3125
1741276306.9890094,7560000,0.9375
1741276572.2263124,7620000,1.1875
1741276822.5326703,7680000,1.9375
1741277075.3281252,7740000,2.0625
1741277345.4924161,7800000,1.25
1741277619.9645448,7860000,1.8125
1741277893.9471383,7920000,1.25
1741278146.2797184,7980000,1.1875
1741278417.464056,8040000,2.9375
1741278666.5431736,8100000,4.0
1741278938.6986992,8160000,1.9375
1741279180.9278038,8220000,1.3125
1741279452.859892,8280000,1.6875
1741279714.6076941,8340000,1.0
1741279978.337023,8400000,1.8125
1741280245.054736,8460000,1.25
1741280508.4508054,8520000,2.0
1741280768.576226,8580000,2.0
1741281018.571381,8640000,1.875
1741281279.7186294,8700000,1.5
1741281538.0026848,8760000,2.3125
1741281803.3205264,8820000,3.1875
1741282075.6388335,8880000,4.0625
1741282342.1631339,8940000,3.25
1741282598.97883,9000000,3.125
1741282862.0958266,9060000,4.375
1741283119.9012487,9120000,4.125
1741283381.2800527,9180000,3.0625
1741283634.4133418,9240000,3.625
1741283889.0731947,9300000,3.5625
1741284160.9538212,9360000,4.0625
1741284416.488888,9420000,3.6875
1741284666.112104,9480000,3.9375
1741284940.6423342,9540000,4.5
1741285193.4996235,9600000,3.5625
1741285443.4712193,9660000,4.25
1741285692.2457097,9720000,3.3125
1741285947.7338,9780000,3.5625
1741286212.097298,9840000,4.375
1741286487.5852978,9900000,3.6875
1741286762.7000275,9960000,3.375
1741287243.3901603,10020000,2.5
1741287479.6805453,10080000,2.0625
1741287720.2167246,10140000,2.4375
1741287970.9434483,10200000,1.9375
1741288229.9476066,10260000,3.125
1741288496.2084064,10320000,1.4375
1741288763.0854485,10380000,2.75
1741289026.0793865,10440000,1.625
1741289277.8181646,10500000,1.125
1741289547.3364341,10560000,2.75
1741289805.3993394,10620000,1.625
1741290077.5279624,10680000,2.1875
1741290338.1365385,10740000,3.875
1741290582.053139,10800000,3.375
1741290860.0255227,10860000,2.5
1741291120.4337184,10920000,2.25
1741291397.8244834,10980000,3.3125
1741291655.9195907,11040000,2.375
1741291924.6838593,11100000,1.75
1741292188.6550882,11160000,3.0
1741292444.958132,11220000,3.25
1741292700.050662,11280000,2.125
1741292961.5069401,11340000,2.1875
1741293210.8957803,11400000,1.3125
1741293467.2611258,11460000,2.125
1741293723.6011274,11520000,0.75
1741293996.0889874,11580000,0.875
1741294264.2982252,11640000,1.625
1741294520.4707942,11700000,0.9375
