Wall time,Step,Value
1741630153.9109204,60000,0.0
1741630377.8092926,120000,0.0
1741630602.6048355,180000,1.0
1741630829.0666804,240000,0.0
1741631049.0647838,300000,0.0
1741631275.4603562,360000,0.0
1741631503.381776,420000,0.0
1741631728.7924693,480000,1.0
1741631946.338847,540000,0.0
1741632170.0421433,600000,0.0
1741632394.872854,660000,0.0
1741632617.0420542,720000,0.0
1741632838.8276045,780000,1.0
1741633062.669421,840000,0.0
1741633286.3226829,900000,0.0
1741633511.6601682,960000,1.0
1741633736.237652,1020000,0.0
1741633957.2542377,1080000,0.0
1741634187.9444826,1140000,1.0
1741634413.2357118,1200000,0.0
1741634641.471264,1260000,0.0
1741634864.571623,1320000,2.0
1741635090.0473065,1380000,1.0
1741635315.5154958,1440000,0.0
1741635541.1617563,1500000,0.0
1741635758.9439783,1560000,1.0
1741635987.7082465,1620000,2.0
1741636213.7073376,1680000,0.0
1741636438.9551332,1740000,0.0
1741636658.5079217,1800000,0.0
1741636883.9929638,1860000,0.0
1741637108.5656862,1920000,4.0
1741637336.2611387,1980000,1.0
1741637561.2087104,2040000,1.0
1741637781.1787584,2100000,0.0
1741638008.11568,2160000,2.0
1741638234.041602,2220000,0.0
1741638459.6799185,2280000,0.0
1741638680.4474316,2340000,0.0
1741638905.408789,2400000,0.0
1741639136.3755114,2460000,0.0
1741639363.9922373,2520000,0.0
1741639584.1282136,2580000,2.0
1741639810.293452,2640000,0.0
1741640036.1355157,2700000,1.0
1741640258.9148357,2760000,0.0
1741640477.8639686,2820000,1.0
1741640704.8774788,2880000,0.0
1741640932.9613533,2940000,0.0
1741641160.700563,3000000,0.0
1741641386.9178421,3060000,0.0
1741641604.3794253,3120000,0.0
1741641827.6684594,3180000,0.0
1741642057.245884,3240000,0.0
1741642284.369765,3300000,0.0
1741642505.4540565,3360000,0.0
1741642732.8573322,3420000,0.0
1741642961.0992396,3480000,0.0
1741643186.8481195,3540000,0.0
1741643405.7759454,3600000,0.0
1741643629.5536218,3660000,0.0
1741643854.5536819,3720000,0.0
1741644078.093708,3780000,0.0
1741644300.744219,3840000,1.0
1741644526.5210688,3900000,0.0
1741644751.8127785,3960000,0.0
1741644975.289452,4020000,1.0
1741645199.7910123,4080000,2.0
1741645418.2789736,4140000,0.0
1741645644.3266623,4200000,1.0
1741645867.6775155,4260000,2.0
1741646094.4093447,4320000,2.0
1741646312.4121969,4380000,0.0
1741646539.1460216,4440000,0.0
1741646768.5059106,4500000,1.0
1741646993.2834945,4560000,0.0
1741647213.1674035,4620000,0.0
1741647437.8505647,4680000,0.0
1741647664.5785887,4740000,0.0
1741647891.688896,4800000,0.0
1741648119.0238574,4860000,0.0
1741648338.538168,4920000,1.0
1741648564.0420372,4980000,0.0
1741649071.7586088,5040000,1.0
1741649300.3172648,5100000,1.0
1741649518.1824074,5160000,0.0
1741649748.0697854,5220000,2.0
1741649976.1944847,5280000,0.0
1741650203.5614607,5340000,0.0
1741650425.1995583,5400000,0.0
1741650649.0500348,5460000,1.0
1741650876.507463,5520000,0.0
1741651102.2965524,5580000,0.0
1741651323.840922,5640000,1.0
1741651547.5623667,5700000,0.0
1741651770.7077901,5760000,0.0
1741652001.3179042,5820000,1.0
1741652232.1554267,5880000,1.0
1741652454.8778536,5940000,1.0
1741652682.2994778,6000000,0.0
1741652909.568006,6060000,0.0
1741653134.9394577,6120000,1.0
1741653356.2225385,6180000,1.0
1741653583.3908615,6240000,1.0
1741653808.0687149,6300000,2.0
1741654034.7126756,6360000,0.0
1741654254.9474242,6420000,0.0
1741654482.5911133,6480000,0.0
1741654709.1816058,6540000,0.0
1741654935.7215395,6600000,0.0
1741655156.6791918,6660000,0.0
1741655383.3331254,6720000,0.0
1741655612.0094945,6780000,0.0
1741655838.2657793,6840000,0.0
1741656067.4892836,6900000,0.0
1741656289.7087653,6960000,0.0
1741656517.1103194,7020000,0.0
1741656745.1301842,7080000,0.0
1741656969.4541936,7140000,0.0
1741657186.4707997,7200000,0.0
1741657411.327063,7260000,0.0
1741657637.521405,7320000,0.0
1741657861.611211,7380000,0.0
1741658080.791496,7440000,0.0
1741658308.438848,7500000,1.0
1741658533.06141,7560000,0.0
1741658756.823789,7620000,0.0
1741658976.0857825,7680000,0.0
1741659203.8697126,7740000,1.0
1741659431.7533727,7800000,0.0
1741659658.6876721,7860000,0.0
1741659886.589563,7920000,1.0
1741660106.4591405,7980000,0.0
1741660335.9628284,8040000,0.0
1741660562.1024227,8100000,0.0
1741660791.2273974,8160000,0.0
1741661012.3960655,8220000,0.0
1741661239.1207163,8280000,0.0
1741661463.639652,8340000,0.0
1741661691.5612254,8400000,0.0
1741661911.343004,8460000,0.0
1741662137.744554,8520000,1.0
1741662360.9814198,8580000,0.0
1741662589.4483879,8640000,0.0
1741662816.692213,8700000,2.0
1741663036.2212353,8760000,1.0
1741663259.9311838,8820000,0.0
