Wall time,Step,Value
1741243033.7216918,60000,0.3125
1741243302.2115388,120000,0.9375
1741243565.7913055,180000,2.6875
1741243846.4559803,240000,0.125
1741244108.587548,300000,0.0625
1741244382.299319,360000,0.5625
1741244636.665552,420000,3.1875
1741244896.1985917,480000,0.8125
1741245158.3455503,540000,1.375
1741245435.0016236,600000,2.6875
1741245692.1426928,660000,0.9375
1741245949.1765718,720000,3.5625
1741246212.9963741,780000,3.4375
1741246467.9135206,840000,2.375
1741246724.0681982,900000,2.0625
1741246965.4327245,960000,3.5
1741247220.8172565,1020000,1.6875
1741247472.037169,1080000,2.4375
1741247712.850117,1140000,2.5625
1741247983.1381867,1200000,1.0625
1741248240.5357108,1260000,0.875
1741248501.0431767,1320000,1.625
1741248773.668882,1380000,0.9375
1741249051.11628,1440000,1.125
1741249323.3723526,1500000,1.625
1741249590.5461164,1560000,1.125
1741249858.5344958,1620000,1.875
1741250135.1910813,1680000,0.9375
1741250410.0085185,1740000,0.375
1741250670.8516474,1800000,0.8125
1741250948.2995365,1860000,0.125
1741251220.3544102,1920000,0.0625
1741251491.011696,1980000,2.9375
1741251739.5329456,2040000,1.6875
1741252006.7719564,2100000,1.875
1741252258.885001,2160000,2.5
1741252524.8639505,2220000,3.5625
1741252774.0527287,2280000,1.875
1741253016.3739913,2340000,2.3125
1741253273.962763,2400000,1.125
1741253533.2120857,2460000,3.1875
1741253797.565192,2520000,0.5625
1741254050.2139862,2580000,0.5
1741254314.8218284,2640000,0.875
1741254566.3228428,2700000,0.1875
1741254831.232303,2760000,0.0625
1741255073.3599095,2820000,4.875
1741255333.61756,2880000,1.25
1741255587.5695248,2940000,5.1875
1741255835.3916364,3000000,1.6875
1741256113.4460132,3060000,3.4375
1741256374.0127223,3120000,2.375
1741256630.0252895,3180000,3.3125
1741256877.835156,3240000,3.4375
1741257133.3782182,3300000,4.1875
1741257393.538783,3360000,3.875
1741257648.3285017,3420000,4.125
1741257903.2595828,3480000,1.8125
1741258173.9162915,3540000,1.4375
1741258431.645999,3600000,1.625
1741258676.5661771,3660000,2.0625
1741258942.2870772,3720000,1.625
1741259198.8218226,3780000,4.375
1741259462.3903103,3840000,4.625
1741259722.3158004,3900000,4.75
1741259985.7913566,3960000,4.9375
1741260256.021115,4020000,3.875
1741260527.9705982,4080000,4.5
1741260788.3761551,4140000,3.4375
1741261051.9902072,4200000,3.4375
1741261323.210277,4260000,2.4375
1741261598.4739053,4320000,3.1875
1741261865.6836078,4380000,2.6875
1741262142.834523,4440000,2.8125
1741262402.5056872,4500000,3.5625
1741262673.1481776,4560000,3.625
1741262932.3278146,4620000,4.3125
1741263201.9956398,4680000,5.125
1741263476.164599,4740000,4.125
1741263750.7982714,4800000,4.0625
1741264007.735075,4860000,5.4375
1741264267.880407,4920000,5.0
1741264535.3211293,4980000,5.125
1741265019.1758375,5040000,5.25
1741265267.73552,5100000,5.0
1741265510.000227,5160000,4.1875
1741265758.942707,5220000,2.4375
1741266005.341166,5280000,3.4375
1741266253.1116552,5340000,2.6875
1741266490.469041,5400000,3.9375
1741266757.5943367,5460000,3.25
1741267013.2159288,5520000,2.5
1741267257.553352,5580000,1.5
1741267496.830014,5640000,1.375
1741267774.7708318,5700000,1.3125
1741268046.6802738,5760000,0.6875
1741268317.4128268,5820000,2.0625
1741268580.4948573,5880000,3.625
1741268837.1569967,5940000,3.9375
1741269087.353058,6000000,4.1875
1741269348.1296496,6060000,3.9375
1741269624.6365314,6120000,2.125
1741269895.665539,6180000,3.625
1741270158.0146058,6240000,3.375
1741270435.805134,6300000,2.9375
1741270712.0094647,6360000,0.5
1741270965.6167798,6420000,0.3125
1741271233.867331,6480000,1.5
1741271482.2430406,6540000,3.25
1741271749.439113,6600000,1.8125
1741272002.1196303,6660000,1.625
1741272268.5077066,6720000,1.625
1741272540.2412796,6780000,3.75
1741272795.4577544,6840000,2.4375
1741273054.0755677,6900000,3.75
1741273311.3630528,6960000,4.0
1741273560.283967,7020000,4.8125
1741273807.3016944,7080000,3.5625
1741274062.098068,7140000,3.9375
1741274314.9631639,7200000,5.0
1741274556.9957294,7260000,5.1875
1741274814.0854914,7320000,4.4375
1741275079.1505768,7380000,3.625
1741275323.3695183,7440000,3.9375
1741275579.2179308,7500000,3.875
1741275844.9131205,7560000,1.75
1741276108.500845,7620000,2.0625
1741276355.4653785,7680000,1.0625
1741276627.629153,7740000,1.25
1741276882.15255,7800000,0.6875
1741277127.1156275,7860000,1.375
1741277390.7174928,7920000,0.625
1741277633.9660704,7980000,0.625
1741277908.6680932,8040000,1.0
1741278166.330928,8100000,0.5
1741278419.0640647,8160000,1.375
1741278678.0038757,8220000,1.0
1741278950.808553,8280000,1.6875
1741279223.5854146,8340000,2.0625
1741279480.5561872,8400000,1.5625
1741279733.658702,8460000,1.125
1741280009.0107524,8520000,3.5625
1741280266.0224895,8580000,3.25
1741280522.7139344,8640000,1.5625
1741280791.5803149,8700000,2.25
1741281040.817906,8760000,2.25
1741281304.4018037,8820000,1.9375
1741281574.395366,8880000,1.6875
1741281844.970942,8940000,2.375
1741282105.2468867,9000000,3.0
1741282373.963565,9060000,2.625
1741282640.2838607,9120000,2.9375
1741282909.8056753,9180000,3.5
1741283172.22317,9240000,2.0625
1741283420.3126733,9300000,2.6875
1741283694.2799659,9360000,3.375
1741283961.8011708,9420000,3.4375
1741284220.0248055,9480000,4.4375
1741284482.8126268,9540000,4.375
1741284751.6265345,9600000,3.5
1741285003.6349432,9660000,3.3125
1741285284.7868176,9720000,3.3125
1741285545.2710893,9780000,2.9375
1741285806.4008908,9840000,3.125
1741286081.1009116,9900000,4.75
1741286341.9867475,9960000,3.625
1741286852.2617986,10020000,3.8125
1741287122.0813165,10080000,2.3125
1741287370.5712168,10140000,1.5625
1741287610.4418352,10200000,1.8125
1741287869.6285336,10260000,2.3125
1741288136.7874055,10320000,1.125
1741288397.7630482,10380000,0.75
1741288670.0600917,10440000,1.125
1741288932.6325028,10500000,1.3125
1741289195.0115576,10560000,3.25
1741289460.6295402,10620000,3.4375
1741289724.8225408,10680000,2.3125
1741289969.1840305,10740000,2.375
1741290207.0221019,10800000,2.875
1741290475.3651597,10860000,2.625
1741290731.357019,10920000,1.125
1741291000.9726002,10980000,1.75
1741291244.7338352,11040000,1.8125
1741291511.852518,11100000,2.4375
1741291782.9972343,11160000,2.25
1741292046.4464855,11220000,3.0625
1741292285.5948145,11280000,2.3125
1741292545.7322867,11340000,2.0
1741292813.1416605,11400000,0.8125
1741293062.4138808,11460000,0.875
1741293298.8006806,11520000,1.4375
1741293545.8107867,11580000,3.0625
1741293789.5467532,11640000,2.25
1741294041.0315669,11700000,3.0625
1741294298.4633908,11760000,3.0
1741294536.0008297,11820000,3.3125
1741294789.3170218,11880000,2.8125
1741295041.3945403,11940000,0.8125
1741295304.0206826,12000000,0.75
1741295568.6596768,12060000,1.1875
1741295816.8833125,12120000,2.0625
1741296075.691953,12180000,0.75
1741296345.035484,12240000,1.5625
1741296611.8184636,12300000,1.6875
1741296864.491128,12360000,1.25
1741297132.531092,12420000,1.0
1741297386.933353,12480000,0.875
1741297651.7272773,12540000,1.25
1741297913.3996575,12600000,0.6875
1741298164.299513,12660000,1.75
1741298437.3949924,12720000,1.3125
1741298705.5598054,12780000,1.625
1741298947.9908223,12840000,1.75
1741299197.94659,12900000,1.9375
1741299464.7062247,12960000,3.4375
1741299725.2319148,13020000,2.0625
1741299968.2368279,13080000,2.5
1741300216.583832,13140000,3.4375
1741300488.7204711,13200000,2.6875
1741300734.3800411,13260000,2.5625
1741300991.2876658,13320000,2.5625
1741301250.6757543,13380000,2.8125
1741301506.2337847,13440000,4.125
1741301767.3720787,13500000,4.5625
1741302025.926081,13560000,4.125
1741302258.5428433,13620000,3.4375
1741302518.6417959,13680000,5.625
1741302771.3530695,13740000,3.1875
1741303028.2874558,13800000,3.75
1741303282.7215462,13860000,3.8125
1741303536.7677186,13920000,3.75
1741303800.9858189,13980000,5.0625
1741304076.1117089,14040000,4.875
