Wall time,Step,Value
1741243033.72172,60000,2.0
1741243302.2115674,120000,2.125
1741243565.7913306,180000,5.5
1741243846.456008,240000,1.125
1741244108.5875742,300000,0.8125
1741244382.2993443,360000,2.0625
1741244636.6655774,420000,8.1875
1741244896.1986191,480000,2.25
1741245158.3455763,540000,3.5
1741245435.0016494,600000,5.75
1741245692.1427188,660000,2.4375
1741245949.1765962,720000,7.75
1741246212.9963975,780000,7.5
1741246467.9135425,840000,7.75
1741246724.0682256,900000,5.3125
1741246965.4327514,960000,9.125
1741247220.8172786,1020000,4.1875
1741247472.0371883,1080000,4.8125
1741247712.850139,1140000,6.8125
1741247983.1382115,1200000,3.25
1741248240.5357335,1260000,3.25
1741248501.0432029,1320000,4.1875
1741248773.6689038,1380000,2.25
1741249051.1163054,1440000,3.125
1741249323.3723738,1500000,4.0625
1741249590.5461433,1560000,3.0
1741249858.5345201,1620000,5.1875
1741250135.1911087,1680000,2.5625
1741250410.0085444,1740000,1.125
1741250670.8516748,1800000,2.5625
1741250948.299563,1860000,0.625
1741251220.354433,1920000,0.1875
1741251491.011724,1980000,6.75
1741251739.5329683,2040000,5.0625
1741252006.7719839,2100000,6.6875
1741252258.885026,2160000,6.3125
1741252524.863973,2220000,8.625
1741252774.0527554,2280000,6.0
1741253016.3740132,2340000,5.5
1741253273.9627893,2400000,2.9375
1741253533.212109,2460000,7.125
1741253797.5652137,2520000,0.875
1741254050.2140117,2580000,1.1875
1741254314.8218524,2640000,2.0
1741254566.322865,2700000,1.0
1741254831.2323272,2760000,0.5625
1741255073.359936,2820000,9.5
1741255333.6175823,2880000,5.5
1741255587.569551,2940000,13.3125
1741255835.3916588,3000000,5.5
1741256113.4460385,3060000,8.4375
1741256374.0127451,3120000,6.9375
1741256630.0253158,3180000,10.25
1741256877.83518,3240000,10.125
1741257133.3782454,3300000,10.75
1741257393.5388052,3360000,10.5
1741257648.3285267,3420000,12.0
1741257903.259609,3480000,6.8125
1741258173.9163132,3540000,5.125
1741258431.6460233,3600000,8.625
1741258676.5662036,3660000,7.75
1741258942.287102,3720000,7.0625
1741259198.8218462,3780000,10.25
1741259462.3903368,3840000,11.875
1741259722.3158226,3900000,12.0
1741259985.7913795,3960000,12.5
1741260256.021142,4020000,10.75
1741260527.9706225,4080000,11.125
1741260788.3761775,4140000,10.1875
1741261051.9902303,4200000,9.875
1741261323.210302,4260000,6.625
1741261598.4739294,4320000,8.6875
1741261865.6836321,4380000,6.3125
1741262142.8345482,4440000,7.3125
1741262402.505712,4500000,9.8125
1741262673.1482036,4560000,9.25
1741262932.327839,4620000,10.8125
1741263201.995666,4680000,11.9375
1741263476.1646245,4740000,10.6875
1741263750.7982986,4800000,10.9375
1741264007.7351007,4860000,12.25
1741264267.880433,4920000,11.8125
1741264535.321161,4980000,15.1875
1741265019.1758595,5040000,12.1875
1741265267.7355418,5100000,13.6875
1741265510.0002537,5160000,10.75
1741265758.942732,5220000,7.5625
1741266005.3411884,5280000,8.25
1741266253.1116784,5340000,6.625
1741266490.4690678,5400000,10.1875
1741266757.5943606,5460000,5.875
1741267013.215956,5520000,6.0
1741267257.553374,5580000,4.625
1741267496.8300412,5640000,3.125
1741267774.7708573,5700000,4.875
1741268046.6802986,5760000,1.9375
1741268317.4128487,5820000,5.375
1741268580.4948838,5880000,8.375
1741268837.157023,5940000,9.9375
1741269087.353082,6000000,11.125
1741269348.1296751,6060000,10.3125
1741269624.6365538,6120000,8.0625
1741269895.6655636,6180000,9.0625
1741270158.014625,6240000,9.375
1741270435.8051658,6300000,6.125
1741270712.0094872,6360000,1.5
1741270965.6168048,6420000,0.625
1741271233.867354,6480000,4.5
1741271482.2430618,6540000,8.625
1741271749.4391341,6600000,6.125
1741272002.119657,6660000,5.8125
1741272268.507732,6720000,5.6875
1741272540.2413044,6780000,8.75
1741272795.4577785,6840000,6.4375
1741273054.0755916,6900000,7.25
1741273311.363074,6960000,9.4375
1741273560.283988,7020000,9.8125
1741273807.3017213,7080000,6.875
1741274062.0980935,7140000,9.3125
1741274314.9631875,7200000,12.3125
1741274556.995751,7260000,13.5625
1741274814.0855148,7320000,11.0
1741275079.1506026,7380000,9.5
1741275323.3695388,7440000,8.75
1741275579.2179532,7500000,8.25
1741275844.9131458,7560000,4.0
1741276108.500867,7620000,6.1875
1741276355.4654055,7680000,4.625
1741276627.6291764,7740000,4.625
1741276882.1525726,7800000,3.125
1741277127.1156511,7860000,3.3125
1741277390.717519,7920000,3.0625
1741277633.9660928,7980000,3.4375
1741277908.6681178,8040000,3.4375
1741278166.330953,8100000,2.9375
1741278419.0640903,8160000,4.5625
1741278678.0039034,8220000,3.3125
1741278950.808579,8280000,4.1875
1741279223.585442,8340000,4.4375
1741279480.5562139,8400000,3.4375
1741279733.658725,8460000,2.75
1741280009.0107784,8520000,6.9375
1741280266.0225112,8580000,7.6875
1741280522.7139611,8640000,3.6875
